"placette";"date";"heure_debut";"heure_fin";"rq_placette";"transect";"rq_transect";"pts_libres_15m";"pts_libres_25m";"arbustive_15m";"arbustive_25m";"arboree_15m";"arboree_25m";"BMS_classe_diametre.cm";"BMS_sd_saprox";"BMS_sp";"BMS_contact_sol";"quart";"rq_quart";"Cat_arbre";"note_DEPERIS";"BM";"MR";"diam";"BMP_sd_saprox";"BMP_sp";"H_arbre_mort.m";"code_DMH";"code_DMH2";"code_DMH3";"code_DMH4";"code_DMH5";"code_DMH6";"code_DMH7";"code_DMH8";"code_DMH9";"quart_abg";"num_arbre"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.13"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.14"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;45;NA;"chene sessile";NA;"EP22p";"DE11h";"";"";"";"";"";"";"";"NE";"T_118_NE.15"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;10;NA;"hetre";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.16"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;55;NA;"chene sessile";NA;"DE11h";"";"";"";"";"";"";"";"";"NE";"T_118_NE.17"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"T_118_2";"D";NA;NA;68;NA;"";15;"";"";"";"";"";"";"";"";"";"NE";"T_118_2"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.19"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.20"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.21"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"IN11h";"2IN13t";"IN14t";"IN11t";"CV22h";"CV31h";"DE11h";"";"";"NE";"T_118_NE.22"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;25;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.23"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Est";"";1;NA;1;1;1;1;"5";2;"HET";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Est";"";1;NA;1;1;1;1;"5";3;"INC";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Est";"";1;NA;1;1;1;1;"10";5;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Est";"";1;NA;1;1;1;1;"5";5;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Est";"";1;NA;1;1;1;1;"5";5;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"SE11t";"CV21p";"GR12t";"";"";"";"";"";"";"ES";"T_118_ES.2"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"DE11h";"GR12t";"";"";"";"";"";"";"";"ES";"T_118_ES.3"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"2DE11h";"DE11t";"";"";"";"";"";"";"";"ES";"T_118_ES.4"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.5"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;10;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.6"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;10;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.7"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"S";"";NA;NA;20;2;"charme";1.5;"CV25";"";"";"";"";"";"";"";"";"ES";"T_118_ES.8"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"IN14t";"3DE11h";"";"";"";"";"";"";"";"ES";"T_118_ES.9"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"GR12p";"GR12t";"IN11p";"IN21h";"";"";"";"";"";"ES";"T_118_ES.10"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.11"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"SE32t";"";"";"";"";"";"";"";"";"ES";"T_118_ES.12"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;34;NA;"chene sessile";NA;"CV22h";"IN11h";"";"";"";"";"";"";"";"ES";"T_118_ES.13"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"GR12p";"GR12t";"";"";"";"";"";"";"";"ES";"T_118_ES.14"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.15"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.16"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.17"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"IN14t";"GR12t";"";"";"";"";"";"";"";"ES";"T_118_ES.18"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"GR12t";"";"";"";"";"";"";"";"";"ES";"T_118_ES.19"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"chene sessile";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.20"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.21"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11t";"";"";"";"";"";"";"";"";"ES";"T_118_ES.22"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"M";"";NA;NA;14;2;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.23"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.24"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"ES";"T_118_ES.25"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";4;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"30";4;"INC";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";3;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";3;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";3;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";3;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";3;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"10";1;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"10";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"10";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"10";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"10";2;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";2;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Sud";"";17;NA;0;1;1;0;"5";1;"CHE";"Non";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_3";"E";NA;NA;62;NA;"";17.5;"";"";"";"";"";"";"";"";"";"SO";"T_118_3"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_4";"E";NA;NA;52;NA;"";15;"";"";"";"";"";"";"";"";"";"SO";"T_118_4"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;10;NA;"hetre";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.4"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.5"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;20;NA;"chene sessile";NA;"DE12h";"";"";"";"";"";"";"";"";"SO";"T_118_SO.6"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;20;NA;"hetre";NA;"IN21h";"";"";"";"";"";"";"";"";"SO";"T_118_SO.7"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11h";"";"";"";"";"";"";"";"";"SO";"T_118_SO.8"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.9"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;65;NA;"chene sessile";NA;"3DE11h";"";"";"";"";"";"";"";"";"SO";"T_118_SO.10"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;25;NA;"hetre";NA;"DE12h";"CV22h";"";"";"";"";"";"";"";"SO";"T_118_SO.11"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;25;NA;"hetre";NA;"IN11p";"SE11t";"";"";"";"";"";"";"";"SO";"T_118_SO.12"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;30;NA;"hetre";NA;"DE12h";"CV22h";"SE11t";"";"";"";"";"";"";"SO";"T_118_SO.13"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11t";"";"";"";"";"";"";"";"";"SO";"T_118_SO.14"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;55;NA;"chene sessile";NA;"3DE11t";"DE11h";"";"";"";"";"";"";"";"SO";"T_118_SO.15"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;10;NA;"hetre";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.16"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;50;NA;"chene sessile";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.17"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"C";NA;NA;75;NA;"chene sessile";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.18"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;10;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"SO";"T_118_SO.19"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;45;NA;"chene sessile";NA;"GR12t";"DE11h";"";"";"";"";"";"";"";"SO";"T_118_SO.20"
