placette;date;heure_debut;heure_fin;rq_placette;transect;rq_transect;pts_libres_15m;pts_libres_25m;arbustive_15m;arbustive_25m;arboree_15m;arboree_25m;BMS_classe_diametre.cm;BMS_sd_saprox;BMS_sp;BMS_contact_sol;quart;rq_quart;Cat_arbre;note_DEPERIS;BM;MR;diam;BMP_sd_saprox;BMP_sp;H_arbre_mort.m;code_DMH;code_DMH2;code_DMH3;code_DMH4;code_DMH5;code_DMH6;code_DMH7;code_DMH8;code_DMH9
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;40;;chene sessile;;DE11t;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;55;;chene sessile;;3DE11t;DE11h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;10;;hetre;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;50;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;C;;;75;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;10;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;45;;chene sessile;;GR12t;DE11h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Ouest;;9;;1;1;1;0;10;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Ouest;;9;;1;1;1;0;10;3;INC;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Ouest;;9;;1;1;1;0;5;4;CHA;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;50;;chene sessile;;3DE11h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;65;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;10;;charme;;2DE11t;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;10;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;45;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;C;;;;14;3;charme;5;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;30;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;35;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;45;;chene sessile;;DE12h;IN13h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Ouest-Nord;;V;;;;55;;chene sessile;;DE13t;IN13t;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Centre;;T_118_1;D;;;68;;Quercus_petraea;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;5;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;5;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;10;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;10;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;5;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;5;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;5;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Nord;;18;;0;0;0;0;5;4;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;T_19_2;E;;;72;;chene sessile;15,5;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;10;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;70;;chene sessile;;CV12h;DE13h;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;S;;;;15;;hetre;1;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;25;2;hetre;;SE11t;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;80;;chene pedoncule;;2DE11t;4DE11h;2DE13h;2CV44p;IN13h;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;10;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;20;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;75;;chene sessile;;3DE11h;GR12h;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;55;;hetre;;DE10h;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;D;;;90;;chene sessile;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Nord-Est;piste de debardage;V;;;;10;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;4;CHE;Oui;;;;;;;;; ;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;4;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;4;CHE;Non;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;2;HET;Non;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;3;HET;Non;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;4;INC;Non;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Est;;6;;1;1;1;0;5;3;INC;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;25;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;10;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;10;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;70;;chene sessile;;IN23t;IN14t;2DE13h;2DE11h;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;M;;;;45;2;hetre;;CV14h;CV11h;IN21h;CV22h;12IN13t;5IN14t;IN13p;IN14p;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;C;;;;36;2;hetre;9;3IN14p;IN13p;4IN13t;IN14t;CV25t;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;10;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;25;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Est-Sud;;V;;;;80;;chene sessile;;CV22t;IN13h;2DE11t;3DE11h;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Sud;;15;;1;0;1;1;5;4;HET;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Sud;;15;;1;0;1;1;10;4;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Sud;;15;;1;0;1;1;5;3;HET;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Sud;;15;;1;0;1;1;15;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Sud;;15;;1;0;1;1;10;2;HET;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;Sud;;15;;1;0;1;1;5;3;HET;Oui;;;;;;;;;;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;T_19_3;D;;;68;;;21;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;25;;hetre;;CV44p;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;65;;chene sessile;;CV44p;CV22h;2DE11h;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;25;;hetre;;DE12h;DE10h;CV21p;CV22t;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;85;;chene sessile;;2DE11h;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;45;;hetre;;SE11t;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;20;;hetre;;;;;;;;;;
T_19;18/06/2024;10:25;13:45;ciel blanc;;;;;;;;;;;;;Sud-Ouest;;V;;;;20;;hetre;;;;;;;;;;
