"placette";"date";"heure_debut";"heure_fin";"rq_placette";"transect";"rq_transect";"pts_libres_15m";"pts_libres_25m";"arbustive_15m";"arbustive_25m";"arboree_15m";"arboree_25m";"BMS_classe_diametre.cm";"BMS_sd_saprox";"BMS_sp";"BMS_contact_sol";"quart";"rq_quart";"Cat_arbre";"note_DEPERIS";"BM";"MR";"diam";"BMP_sd_saprox";"BMP_sp";"H_arbre_mort.m";"code_DMH";"quart_abg";"num_arbre";"vol_BMP.m2";"effectif";"DMH";"strate"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"S";"";NA;NA;20;2;"charme";1.5;"CV25";"ES";"T_118_ES.8";"";1;"CV25";NA
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"IN14t";"ES";"T_118_ES.9";"";1;"IN14";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"3DE11h";"ES";"T_118_ES.9";"";3;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"GR12p";"ES";"T_118_ES.10";"";1;"GR12";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"GR12t";"ES";"T_118_ES.10";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"IN11p";"ES";"T_118_ES.10";"";1;"IN11";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;20;NA;"charme";NA;"IN21h";"ES";"T_118_ES.10";"";1;"IN21";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"SE32t";"ES";"T_118_ES.12";"";1;"SE32";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;34;NA;"chene sessile";NA;"CV22h";"ES";"T_118_ES.13";"";1;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;34;NA;"chene sessile";NA;"IN11h";"ES";"T_118_ES.13";"";1;"IN11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"GR12p";"ES";"T_118_ES.14";"";1;"GR12";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"GR12t";"ES";"T_118_ES.14";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"IN14t";"ES";"T_118_ES.18";"";1;"IN14";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"GR12t";"ES";"T_118_ES.18";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"GR12t";"ES";"T_118_ES.19";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11t";"ES";"T_118_ES.22";"";1;"DE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_3";"E";NA;NA;62;NA;"";17.5;"3CV22h";"SO";"T_118_3";"0.115846229101124";3;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_3";"E";NA;NA;62;NA;"";17.5;"1CV31h";"SO";"T_118_3";"0.115846229101124";1;"CV31";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_3";"E";NA;NA;62;NA;"";17.5;"2CV31h";"SO";"T_118_3";"0.115846229101124";2;"CV31";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_3";"E";NA;NA;62;NA;"";17.5;"3DE11h";"SO";"T_118_3";"0.115846229101124";3;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_3";"E";NA;NA;62;NA;"";17.5;"1IN11h";"SO";"T_118_3";"0.115846229101124";1;"IN11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_4";"E";NA;NA;52;NA;"";15;"3CV22h";"SO";"T_118_4";"0.718639319508665";3;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_4";"E";NA;NA;52;NA;"";15;"1CV22t";"SO";"T_118_4";"0.718639319508665";1;"CV22";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_4";"E";NA;NA;52;NA;"";15;"1CV31h";"SO";"T_118_4";"0.718639319508665";1;"CV31";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"T_118_4";"E";NA;NA;52;NA;"";15;"7DE11h";"SO";"T_118_4";"0.718639319508665";7;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;20;NA;"chene sessile";NA;"DE12h";"SO";"T_118_SO.6";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;20;NA;"hetre";NA;"IN21h";"SO";"T_118_SO.7";"";1;"IN21";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11h";"SO";"T_118_SO.8";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;65;NA;"chene sessile";NA;"3DE11h";"SO";"T_118_SO.10";"";3;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;25;NA;"hetre";NA;"DE12h";"SO";"T_118_SO.11";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;25;NA;"hetre";NA;"CV22h";"SO";"T_118_SO.11";"";1;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;25;NA;"hetre";NA;"IN11p";"SO";"T_118_SO.12";"";1;"IN11";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;25;NA;"hetre";NA;"SE11t";"SO";"T_118_SO.12";"";1;"SE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;30;NA;"hetre";NA;"DE12h";"SO";"T_118_SO.13";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;30;NA;"hetre";NA;"CV22h";"SO";"T_118_SO.13";"";1;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;30;NA;"hetre";NA;"SE11t";"SO";"T_118_SO.13";"";1;"SE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11t";"SO";"T_118_SO.14";"";1;"DE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;55;NA;"chene sessile";NA;"3DE11t";"SO";"T_118_SO.15";"";3;"DE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;55;NA;"chene sessile";NA;"DE11h";"SO";"T_118_SO.15";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;45;NA;"chene sessile";NA;"GR12t";"SO";"T_118_SO.20";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"piste de debardage";"V";"";NA;NA;45;NA;"chene sessile";NA;"DE11h";"SO";"T_118_SO.20";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Ouest-Nord";"";"V";"";NA;NA;50;NA;"chene sessile";NA;"3DE11h";"ON";"T_118_ON.3";"";3;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Ouest-Nord";"";"V";"";NA;NA;10;NA;"charme";NA;"2DE11t";"ON";"T_118_ON.5";"";2;"DE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Ouest-Nord";"";"V";"";NA;NA;45;NA;"chene sessile";NA;"DE12h";"ON";"T_118_ON.13";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Ouest-Nord";"";"V";"";NA;NA;45;NA;"chene sessile";NA;"IN13h";"ON";"T_118_ON.13";"";1;"IN13";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Ouest-Nord";"";"V";"";NA;NA;55;NA;"chene sessile";NA;"DE13t";"ON";"T_118_ON.16";"";1;"DE13";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Ouest-Nord";"";"V";"";NA;NA;55;NA;"chene sessile";NA;"IN13t";"ON";"T_118_ON.16";"";1;"IN13";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Centre";"";"T_118_1";"D";NA;NA;68;NA;"Quercus_petraea";NA;"4CV22h";NA;"T_118_1";"0.0510508806208341";4;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Centre";"";"T_118_1";"D";NA;NA;68;NA;"Quercus_petraea";NA;"1DE11h";NA;"T_118_1";"0.0510508806208341";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Centre";"";"T_118_1";"D";NA;NA;68;NA;"Quercus_petraea";NA;"1IN11h";NA;"T_118_1";"0.0510508806208341";1;"IN11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Centre";"";"T_118_1";"D";NA;NA;68;NA;"Quercus_petraea";NA;"1SE11h";NA;"T_118_1";"0.0510508806208341";1;"SE11";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"4CV22h";"SO";"T_19_2";"0.214020999525805";4;"CV22";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"2CV31h";"SO";"T_19_2";"0.214020999525805";2;"CV31";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"1CV41h";"SO";"T_19_2";"0.214020999525805";1;"CV41";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"8DE11h";"SO";"T_19_2";"0.214020999525805";8;"DE11";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"1IN13h";"SO";"T_19_2";"0.214020999525805";1;"IN13";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"1IN22h";"SO";"T_19_2";"0.214020999525805";1;"IN22";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Sud-Ouest";"";"T_19_2";"E";NA;NA;72;NA;"chene sessile";15.5;"1IN23h";"SO";"T_19_2";"0.214020999525805";1;"IN23";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;70;NA;"chene sessile";NA;"CV12h";"NE";"T_19_NE.3";"";1;"CV12";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;70;NA;"chene sessile";NA;"DE13h";"NE";"T_19_NE.3";"";1;"DE13";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;25;2;"hetre";NA;"SE11t";"NE";"T_19_NE.5";"";1;"SE11";"t"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;80;NA;"chene pedoncule";NA;"2DE11t";"NE";"T_19_NE.6";"";2;"DE11";"t"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;80;NA;"chene pedoncule";NA;"4DE11h";"NE";"T_19_NE.6";"";4;"DE11";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;80;NA;"chene pedoncule";NA;"2DE13h";"NE";"T_19_NE.6";"";2;"DE13";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;80;NA;"chene pedoncule";NA;"2CV44p";"NE";"T_19_NE.6";"";2;"CV44";"p"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;80;NA;"chene pedoncule";NA;"IN13h";"NE";"T_19_NE.6";"";1;"IN13";"h"
"T_19";"18/06/2024";"10:25";"13:45";"ciel blanc";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"piste de debardage";"V";"";NA;NA;75;NA;"chene sessile";NA;"3DE11h";"NE";"T_19_NE.9";"";3;"DE11";"h"
